gdb_name,gdb_idx,qm9_dataset_pos,smiles,homo_eV,lumo_eV,bandgap_eV
gdb_1821,1820,1768,[H]C1=C([H])C(=O)C([H])([H])C1=O,-6.851827144622803,-2.6231775283813477,4.231370449066162
gdb_1822,1821,1769,[H]C1=C([H])C(=O)N([H])C1=O,-7.385169982910156,-2.625898838043213,4.759271144866943
gdb_7875,7874,7606,[H]C1=C(C([H])([H])[H])C(=O)C([H])([H])C1=O,-6.704885482788086,-2.372832775115967,4.329331398010254
gdb_7877,7876,7608,[H]C1=C(C([H])([H])[H])C(=O)N([H])C1=O,-7.238228797912598,-2.3673903942108154,4.870838165283203
gdb_7881,7880,7612,[H]C1=C(N([H])[H])C(=O)C([H])([H])C1=O,-6.413723468780518,-1.9401718378067017,4.4735517501831055
gdb_7883,7882,7614,[H]C1=C(N([H])[H])C(=O)N([H])C1=O,-6.397397041320801,-1.804114818572998,4.590560436248779
gdb_10786,10785,10495,[H]C1=C([H])C(=O)C([H])([H])C([H])([H])C1=O,-7.023258686065674,-2.6068506240844727,4.413686752319336
gdb_11194,11193,10903,[H]C(=O)C1=C([H])C(=O)C([H])([H])C1([H])[H],-6.911692142486572,-2.710254192352295,4.201437950134277
gdb_12586,12585,12291,[H]C1=C([H])C(=O)C([H])(C([H])([H])[H])C1=O,-6.7647504806518555,-2.5687549114227295,4.195995807647705
gdb_12588,12587,12293,[H]C1=C([H])C(=O)N(C([H])([H])[H])C1=O,-7.325304985046387,-2.5333800315856934,4.791924953460693
gdb_12589,12588,12294,[H]OC1([H])C(=O)C([H])=C([H])C1=O,-7.009653091430664,-2.781003713607788,4.22592830657959
gdb_43256,43255,42123,[H]C1=C([H])C(=O)C2(C1=O)C([H])([H])C2([H])[H],-6.8001251220703125,-2.492563009262085,4.307562351226807
gdb_43257,43256,42124,[H]C1=C([H])C(=O)C2(C1=O)N([H])C2([H])[H],-6.8137311935424805,-2.7048118114471436,4.106198310852051
gdb_43258,43257,42125,[H]C1=C([H])C(=O)C2(OC2([H])[H])C1=O,-6.849106311798096,-2.84631085395813,4.0027947425842285
gdb_43259,43258,42126,[H]C#CC1([H])C(=O)C([H])=C([H])C1=O,-6.8137311935424805,-2.8190996646881104,3.994631290435791
gdb_43260,43259,42127,[H]C1=C([H])C(=O)[C@]2([H])C([H])([H])[C@]2([H])C1=O,-6.968835830688477,-2.5578701496124268,4.410965919494629
gdb_43261,43260,42128,[H]C1=C([H])C(=O)[C@]2([H])N([H])[C@]2([H])C1=O,-7.069517612457275,-2.6721580028533936,4.397359848022461
gdb_43262,43261,42129,[H]C1=C([H])C(=O)[C@@]2([H])O[C@@]2([H])C1=O,-7.4205451011657715,-3.0068581104278564,4.410965919494629
gdb_43427,43426,42293,[H]C1=C([H])C(=O)N([H])C(=O)C1=O,-7.436871528625488,-3.5347588062286377,3.9021127223968506
gdb_43437,43436,42303,[H]C#CC1=C([H])C(=O)C([H])([H])C1=O,-6.928018569946289,-2.8871281147003174,4.040890693664551
gdb_43438,43437,42304,[H]C#CC1=C([H])C(=O)N([H])C1=O,-7.445035457611084,-2.900733709335327,4.544301509857178
gdb_47281,47280,46142,[H]C1=C([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C1=O,-7.050469875335693,-2.5905239582061768,4.462667465209961
gdb_47282,47281,46143,[H]C1=C([H])C(=O)C([H])([H])C([H])([H])N([H])C1=O,-6.996047019958496,-2.2694296836853027,4.723896503448486
gdb_47283,47282,46144,[H]C1=C([H])C(=O)C([H])([H])C([H])([H])OC1=O,-7.292651653289795,-2.5878028869628906,4.707569599151611
gdb_47284,47283,46145,[H]C1=C([H])C(=O)C([H])([H])N([H])C([H])([H])C1=O,-6.2395710945129395,-2.699369430541992,3.5429224967956543
gdb_47285,47284,46146,[H]C1=C([H])C(=O)C([H])([H])OC([H])([H])C1=O,-6.903528213500977,-2.761955499649048,4.141572952270508
gdb_47286,47285,46147,[H]C1=C([H])C(=O)OC([H])([H])OC1=O,-8.008310317993164,-2.680321455001831,5.32798957824707
gdb_49104,49103,47962,[H]C(=O)C1=C(C([H])=O)C([H])([H])C([H])([H])C1([H])[H],-7.085844993591309,-2.729301929473877,4.356542587280273
gdb_49105,49104,47963,[H]C(=O)C1=C(C([H])=O)C([H])([H])OC1([H])[H],-7.09945011138916,-3.0721652507781982,4.027285099029541
gdb_49106,49105,47964,[H]C(=O)C1=C(C([H])=O)C([H])([H])C([H])([H])N1[H],-6.054533004760742,-2.5034475326538086,3.551085948944092
